MaStR-Nr. der Stromerzeugungseinheit,Anzeige-Name der Stromerzeugungseinheit,Bundesland der Einheit,Auswertung Energieträger,Bruttoleistung in MW,Nettonennleistung (elektrische Wirkleistung) in MW,Volleinspeisung oder Teileinspeisung?,Anschlussnetzbetreiber,Spannungsebene
SEE912160334607,Leuna GT2,Sachsen-Anhalt,Erdgas,37.6,37,Teileinspeisung (einschließlich Eigenverbrauch),InfraLeuna GmbH (SNB982722829230),Hochspannung
SEE990357023541,illwerke vkw Vermuntwerk M5,Österreich,Wasser,37,37,Volleinspeisung,TransnetBW GmbH (SNB984944755380),Höchstspannung
SEE987361570932,HKW BRB,Brandenburg,Erdgas,36.96,36.8,Volleinspeisung,E.DIS Netz GmbH (SNB941690671609),Hochspannung
SEE920801236685,"Kraftwerk VII, Block 71, DT710",Nordrhein-Westfalen,Erdgas,36.33,36.23,Volleinspeisung,CPM Netz GmbH (SNB956923775696),Hochspannung
SEE943210695102,DT30 GuD Süd Wolfsburg,Niedersachsen,Wärme,37,36.2,Volleinspeisung,VW KRAFTWERK Gesellschaft mit beschränkter Haftung (SNB978865527096),Hochspannung
SEE988848971327,"HKW Reuter, Dampfturbine M",Berlin,Abfall,36.36,36,Teileinspeisung (einschließlich Eigenverbrauch),Stromnetz Berlin GmbH (SNB979269087643),Hochspannung
SEE916662059105,GuD-Block 1,Mecklenburg-Vorpommern,Erdgas,37,36,Volleinspeisung,Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715),Hochspannung
SEE942226311273,GuD-Block 2,Mecklenburg-Vorpommern,Erdgas,37,36,Volleinspeisung,Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715),Hochspannung
SEE908746529123,GuD-Block 3,Mecklenburg-Vorpommern,Erdgas,37,36,Volleinspeisung,Stadtwerke Rostock Netzgesellschaft mbH (SNB939724292715),Hochspannung
SEE970820981745,"Kraftwerk VI, Block 62, DT620",Nordrhein-Westfalen,Erdgas,36.08,35.98,Volleinspeisung,CPM Netz GmbH (SNB956923775696),Hochspannung
SEE994351082467,"Kraftwerk VI, Block 61, DT610",Nordrhein-Westfalen,Erdgas,35.8,35.7,Volleinspeisung,CPM Netz GmbH (SNB956923775696),Hochspannung
SEE918056935682,"Kraftwerk III, DT310",Nordrhein-Westfalen,Erdgas,35.45,35.45,Volleinspeisung,CPM Netz GmbH (SNB956923775696),Hochspannung
SEE953872640426,Dampfturbine,Nordrhein-Westfalen,Erdgas,38,35.2,Teileinspeisung (einschließlich Eigenverbrauch),Stadtnetze Münster GmbH (SNB980883363112),Mittelspannung
SEE977346043964,Bringhausen M3 F1,Hessen,Pumpspeicher,35,35,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE943568591200,Bringhausen M4 F1,Hessen,Pumpspeicher,35,35,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE941875842596,Ma 1,Niedersachsen,Sonstige Energieträger (nicht erneuerbar),40,35,Teileinspeisung (einschließlich Eigenverbrauch),TenneT TSO GmbH (SNB970033313272),Höchstspannung
SEE969074173341,Ma 3,Niedersachsen,Sonstige Energieträger (nicht erneuerbar),40,35,Teileinspeisung (einschließlich Eigenverbrauch),TenneT TSO GmbH (SNB970033313272),Höchstspannung
BNA0273,Heizkraftwerk FL,Schleswig-Holstein,Steinkohle,,35,,Stadtwerke Flensburg GmbH ,Mittelspannung (MS)
BNA0544,HKW Südstadt,Nordrhein-Westfalen,Erdgas,,35,,Rheinische NETZGesellschaft mbH ,Hochspannung (HS)
SEE923485223774,Fenne MKV Gasturbine,Saarland,Mineralölprodukte,35,34.86,Volleinspeisung,Creos Deutschland GmbH (SNB940133714842),Hochspannung
SEE996548424685,IKW Block 4,Brandenburg,Sonstige Energieträger (nicht erneuerbar),36,34.7,Teileinspeisung (einschließlich Eigenverbrauch),E.DIS Netz GmbH (SNB941690671609),Höchstspannung
SEE960529046555,6MKA,Brandenburg,Mineralölprodukte,36,34.5,Teileinspeisung (einschließlich Eigenverbrauch),E.DIS Netz GmbH (SNB941690671609),Hochspannung
SEE910950875330,bnBm GasKW BIB GT1,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE931497805147,bnBm GasKW BIB GT10,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE976107471893,bnBm GasKW BIB GT11,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE960934136643,bnBm GasKW BIB GT2,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE902280549463,bnBm GasKW BIB GT3,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE920753145547,bnBm GasKW BIB GT4,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE927542617698,bnBm GasKW BIB GT5,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE915847711449,bnBm GasKW BIB GT6,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE912980761904,bnBm GasKW BIB GT7,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE918332839635,bnBm GasKW BIB GT8,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE922908994215,bnBm GasKW BIB GT9,Hessen,Erdgas,34.8,34.4,Volleinspeisung,Amprion GmbH (SNB976890256486),Höchstspannung
SEE971244426065,Turbine 1,Nordrhein-Westfalen,Biomasse,39.47,34,Teileinspeisung (einschließlich Eigenverbrauch),Bielefelder Netz GmbH (SNB918516395612),Hochspannung
SEE959229794460,DT,Thüringen,Erdgas,34,34,Volleinspeisung,SWE Netz GmbH (Erfurt) (SNB950262883869),Hochspannung
SEE950895373805,Dampfturbinenanlage DT3,Saarland,Erdgas,34.6,34,Volleinspeisung,Stadtwerke Saarbrücken Netz AG (SNB985382489820),Hochspannung; Umspannebene Hochspannung/Mittelspannung; Umspannebene Hochspannung/Mittelspannung
SEE988668060393,Turbine 31,Nordrhein-Westfalen,Sonstige Energieträger (nicht erneuerbar),33.6,33.6,Teileinspeisung (einschließlich Eigenverbrauch),NETCUR GmbH (SNB974711150357),Umspannebene Hochspannung/Mittelspannung
SEE999819576335,Block 2,Sachsen-Anhalt,Abfall,33.6,33.6,Volleinspeisung,Netze Magdeburg GmbH (SNB933459598975),Umspannebene Hochspannung/Mittelspannung
SEE928076311489,Fernwärmekraftwerk Kassel,Hessen,Braunkohle,38,33.5,Volleinspeisung,Avacon Netz GmbH (SNB990362338043),Hochspannung
SEE912935247576,Raffineriekraftwerk Leuna MDT,Sachsen-Anhalt,Mineralölprodukte,38.3,33.4,Teileinspeisung (einschließlich Eigenverbrauch),InfraLeuna GmbH (SNB982722829230),Hochspannung
SEE997242656822,GT 3,Thüringen,Erdgas,33.77,33,Volleinspeisung,SWE Netz GmbH (Erfurt) (SNB950262883869),Hochspannung
